Director,Appearances
Tobe Hooper,1
Mohammed El-Tahawy,1
 Mohamed Mostafa,1
Lena Khan,1
Leanne Gater,1
Robert Schwentke,1
Brendan Malloy,1
 Emmett Malloy,1
David Koepp,1
Ben Brewer,1
 Alex Brewer,1
David Briggs,1
Kevin Donovan,1
Jean-Pierre Dardenne,1
 Luc Dardenne,1
Mark Neveldine,1
 Lynn Novick,1
Ossama Abu El Atta,1
 Tarek Al Eryan,1
Russell Crowe,1
Jay Russell,1
Robert Eggers,1
Kyle Rankin,1
Neil Rawles,1
Emil Ben-Shimon,1
Laurent Cantet,1
Michael Apted,1
Victoria Bromley,1
George Mendeluk,1
Peter Foott,1
Peter Svatek,1
Saheed Arafath,1
Charlotte Zwerin,1
David Shisgall,1
Derek Hui,1
Wim Bonte,1
Raam Reddy,1
Bin Bunluerit,1
Benjamin Ross,1
Stephen Hopkins,1
Jordan Ross,1
 John Sturges,1
Li Jun,1
Steve Loter,1
Sonny Marler,1
Edward Ellis,1
 Flor Salcedo,1
 Aaron Woolf,1
Beeban Kidron,1
Michael Cumming,1
Kyoko Miyake,1
Phil Roman,1
Roger Spottiswoode,1
Buddhadev Dasgupta,1
Sukum Maetawanitch,1
Jeffrey Nachmanoff,1
Wally Pfister,1
Richard Bates Jr.,1
Jon Reiner,1
 Brad Rothschild,1
Ron Underwood,1
S.S. Wilson,2
Brent Maddock,1
Adam Smith,1
Jitender Pawar,1
Nicholas Zeig-Owens,1
Shaul Schwarz,1
 Christina Clusiau,1
Tekin Girgin,1
Henry Hathaway,1
Preston A. Whitmore II,1
 John Huston,1
 Hugh Stewart,1
 Roy Boulting,1
 Anthony Veiller,1
David Soren,1
Hidetaka Inazuka,1
Buz Wallick,1
Gary Young,1
Susan Lambert,1
 Stefan Moore,1
Benedict Andrews,1
Paul Feig,1
Michael Mazzola,1
Chris Burkard,1
Jonathan Glazer,1
Sanjay Patel,1
Sherif Mandour,1
Jason Reitman,2
Pradeep Verma,1
Mario Van Peebles,1
Ashu Trikha,1
Amanda Micheli,1
Gurinder Chadha,1
Brandon Dickerson,1
David L.G. Hughes,1
Harvey Lilley,1
Gary Michael Schultz,1
P.T. Kunju Muhammad,1
Ganesh Kadam,1
Kushal Srivastava,1
Ed Lilly,1
Bilal Lashari,1
Param Gill,1
Anu Menon,1
Rob McKittrick,1
Marc Francis,1
 Max Pugh,1
Alex Smith,1
 Andrew J. Smith,1
Philip G. Atwell,1
Faraz Haider,1
John Michael McDonagh,1
Jack Zagha Kababie,1
Marina Zenovich,1
Tiffanie Hsu,1
Max Joseph,1
David Serrano,1
Jeremiah Zagar,1
Antoni Krauze,1
Chi Fat Chan,1
Ashish R. Mohan,1
Stephen Donnelly,1
 Olly Reid,1
 Jun Falkenstein,1
Abel Ferrara,1
Trevor Ryan,1
Michael Fahey,1
Huang Lei,1
Rebecca Harrison,1
Josh Mendoza,1
 Riri Riza,1
Ritu Sarin,1
 Tenzing Sonam,1
Heidi Brandenburg,1
 Mathew Orzel,1
Marek Kanievska,1
Paul Raschid,1
Drew Stone,1
Milla Harrison-Hansley,1
 Alicky Sussman,1
Dhruv Dhawan,1
 Anatole Litvak,1
Paul Dano,1
Morgan Matthews,1
Mel Stuart,1
Pascale Lamche,1
Debra Granik,1
Zach Braff,1
Theo Davies,1
Adrian Murray,1
Bart Freundlich,1
Storm Theunissen,1
David Guy Levy,1
Yasir Nawaz,1
Lawrence Kasdan,1
Jovanka Vuckovic,1
 Annie Clark,1
 Roxanne Benjamin,1
 Karyn Kusama,1
N. Chandra,1
Abu Bakr Shawky,1
Christian De Vita,1
Saratswadee Wongsomphet,2
Kirati Nakintanon,1
Mark Risley,1
James Brown,1
Ivona Juka,1
Mu Chu,1
Chandra Prakash Dwivedi,1
Majid Al Ansari,1
Peter Hewitt,1
Mozez Singh,1
